Unnamed: 0,Residential L1,Residential L2,MUD L2,Workplace L2,Public L2,Public DCFC
354,0.0,6528354.20570198,1409003.4746040641,14365.61080217586,24490.080150108188,150.0
357,0.0,6480741.612178018,1401216.187912853,14419.623822981408,24330.074576046463,150.0
360,0.0,6434055.942821387,1393723.5456992898,14477.116965038816,24184.064138648777,150.0
363,0.0,6387727.0643516,1386286.4624277074,14553.018512575283,24019.562379316245,150.0
366,0.0,6341559.926661424,1379309.6259730393,14589.831025980347,23842.75939949755,150.0
369,0.0,6294986.954156473,1372444.1276710583,14597.208958333258,23732.757041117853,120.5594471638912
372,0.0,6248746.710439874,1365364.48029137,14682.625309814646,23560.68630066511,0.0
375,0.0,6202724.015571997,1357994.954381782,14733.383305454776,23454.701828534766,0.0
378,0.0,6156882.194125839,1350752.2294029067,14704.033390893035,23353.68831293928,0.0
381,0.0,6111130.327654403,1343639.0146835032,14675.829268510752,23193.04531027978,0.0
384,0.0,6066278.0717073055,1336808.0171320064,14665.73115801282,23028.498209784593,0.0
387,0.0,6021382.200037194,1329665.6908976138,14651.645150769471,22946.299958475,0.0
390,0.0,5977024.953097693,1322659.719186113,14567.634859967535,22831.67326637199,0.0
393,0.0,5932359.527411485,1315773.154747292,14553.923719755217,22664.57762872708,150.0
396,0.0,5888131.989757221,1308823.531591978,14597.467654317916,22544.744364684728,105.98251435283976
399,0.0,5843952.045646771,1302033.9626794588,14562.79048785031,22399.982984053575,0.0
402,0.0,5800556.685714385,1295371.7755170928,14510.959524214144,22277.331945650454,0.0
405,0.0,5757597.632303591,1288274.8061237452,14488.136194020924,22127.844838214987,300.0
408,0.0,5714761.261678794,1281658.2630519741,14461.436810784133,22000.64877858886,245.6535895654485
411,0.0,5671829.849399133,1274483.7452763491,14458.343175091955,21871.474218421714,150.0
414,0.0,5628387.701455709,1267349.9980418857,14454.275367115457,21743.07506220816,150.0
417,0.0,5586120.1839119885,1260645.8201901563,14406.781396939205,21585.01101110832,150.0
420,0.0,5543422.730067167,1253708.2173930556,14344.570561491802,21447.22827695035,56.204811651589
423,0.0,5501264.937816874,1247004.0565848125,14304.242200970271,21406.63448504583,0.0
426,0.0,5460050.475956889,1240361.3283710657,14205.438111719937,21248.832711363146,0.0
429,0.0,5419314.803451728,1233181.4744586805,14147.663734005953,21107.066148766025,150.0
432,0.0,5378661.108872771,1226587.4263888462,14097.429434036529,20993.81791590742,300.0
435,0.0,5337784.920311214,1219888.8723966493,14079.574306450806,20873.95827486897,450.0
438,0.0,5297567.38743007,1212765.0943988091,14015.005031209188,20741.10256234859,450.0
441,0.0,5257637.241392591,1206149.4211183763,13945.699539802466,20589.128128953747,450.0
444,0.0,5217227.938996445,1199329.363496272,13927.368580802304,20461.79553654322,378.96135455301436
447,0.0,5178465.468740354,1192788.261713121,13956.097502736317,20293.568412980632,198.25655905066264
450,0.0,5139569.210310712,1186365.4747908565,13892.819751582054,20177.6394319943,150.0
453,0.0,5099912.531662562,1179832.978857249,13835.535761538162,20014.201708094843,94.03541344642063
456,0.0,5061059.933048493,1173183.8425745233,13766.439892712046,19845.217688327433,0.0
459,0.0,5023112.094191931,1166463.6149682482,13746.47105677448,19757.883009547306,0.0
462,0.0,4984775.303298833,1160062.2579440495,13749.61572050954,19615.46955114273,150.0
465,0.0,4946953.840188074,1153876.6194711672,13676.714896864727,19480.39616103464,150.0
468,0.0,4909000.53057989,1147685.9532030541,13579.73211877843,19356.097461444217,300.0
471,0.0,4871978.377012663,1141387.7263034447,13546.210213071456,19193.93396676945,300.0
474,0.0,4834673.86723067,1135212.6235245243,13516.624236569896,19027.188792587007,392.02933612953103
477,0.0,4798587.109139185,1129195.3487867143,13471.179153620698,18904.858447514278,237.46031008024147
480,0.0,4762064.887590127,1122840.307168488,13412.635702362582,18820.55757745778,150.0
483,0.0,4725892.84475336,1116474.5363298394,13369.802461538191,18703.25752775027,98.52381177480936
486,0.0,4690663.784044508,1110037.4010191022,13304.169008007193,18554.70794704519,0.0
489,0.0,4655082.30608954,1103677.1024087723,13216.372312378444,18394.03446046031,0.0
492,0.0,4620214.143361097,1097335.2722026405,13129.64873095453,18232.59493701433,0.0
495,0.0,4586142.463468613,1091336.9495247153,13072.841488296745,18145.26268505522,0.0
498,0.0,4551537.586958075,1085465.2572864078,13041.937937829858,18040.147247038938,150.0
501,0.0,4517735.689829862,1079189.5761666917,12951.973873730472,17928.1081162762,150.0
504,0.0,4483850.237189902,1073313.8835263234,12921.159759884433,17815.79633563922,150.0
507,0.0,4450806.276791099,1067354.532203028,12864.686716533524,17689.817848793602,122.6029704859014
510,0.0,4417283.3561207205,1061235.4070383448,12762.369599430478,17577.119621042984,150.0
513,0.0,4383975.894862749,1055162.1105227063,12737.45509817831,17509.800551320794,135.2910250964743
516,0.0,4350235.276419446,1049241.569248914,12688.830139554098,17410.070226938507,0.0
519,0.0,4316870.632856978,1043218.6530782584,12633.55064574,17300.13331506135,0.0
522,0.0,4283646.513618839,1037306.7169195602,12611.064355875998,17177.413185908692,218.7141558528793
525,0.0,4251159.774424364,1031461.9928611657,12608.495649419485,17086.093218311515,150.0
528,0.0,4219171.877156124,1025492.1846969868,12631.818405641463,17003.92146141346,150.0
531,0.0,4186846.1522499826,1020085.794174565,12664.400359229192,16877.21269957475,93.7352964138843
534,0.0,4154848.6562452354,1014264.8087017473,12639.889298962073,16722.81897782642,0.0
537,0.0,4132646.6643620282,1008774.4388225385,12569.389686658964,16622.137974043475,0.0
540,0.0,4120816.7576461565,1003104.7247981597,12510.089361898132,16481.453533364253,0.0
543,0.0,4089464.9603669485,996925.2796714837,12460.562557605477,16367.81377177417,0.0
546,0.0,4057670.2342822845,991154.9005684695,12423.392854148096,16242.51872719988,0.0
549,0.0,4025703.4473926434,985434.4711683018,12413.831938924497,16086.829819365365,0.0
552,0.0,3993793.8907797686,979896.616483975,12389.381208295154,16053.440182754284,0.0
555,0.0,3963290.610558033,974483.1203786703,12327.13771435784,15999.067456422548,0.0
558,0.0,3932188.825572473,968672.5147741537,12312.44862294814,15886.669688315722,0.0
561,0.0,3900934.2266809237,962759.1312598992,12339.409374871757,15763.272569224362,0.0
564,0.0,3869996.350872352,957318.8877552254,12317.446027768976,15660.67231686157,0.0
567,0.0,3839022.4311912516,951991.8457480851,12305.975089753942,15617.944555364355,150.0
570,0.0,3808420.4877421525,946460.222555587,12285.71068223858,15532.349156352022,244.08710141658509
573,0.0,3777859.472587689,940687.396825605,12245.490068337513,15445.32717032722,276.2877123899786
576,0.0,3747714.6892579133,935064.3244470344,12204.077887415788,15352.837464380887,150.0
579,0.0,3717789.491021198,929451.6466402011,12171.821399646185,15186.705778750198,150.0
582,0.0,3688292.2870947546,923929.5757772434,12127.814910569348,15070.910228963145,150.0
585,0.0,3658440.2839997225,918672.1489510939,12092.47501916219,14973.53251788502,150.0
588,0.0,3628390.0897057443,913333.2769839307,12046.58872130407,14880.717072644049,26.086947076266892
591,0.0,3598404.030862685,907785.2182784852,12060.023825467168,14821.702632473487,0.0
594,0.0,3568852.4293854237,902313.3386345105,12018.209056300664,14755.206504225667,0.0
597,0.0,3539087.2628438114,897070.8134776532,12064.323872147352,14632.016585336518,147.84459690814612
600,0.0,3508985.920446632,891732.6069239974,12074.962789632122,14516.629232081727,0.0
603,0.0,3479519.669545603,886629.3144627388,12092.584814346461,14402.705143592442,0.0
606,0.0,3449998.7060647723,881249.5294956083,12085.158195837339,14330.283964124494,0.0
609,0.0,3421966.4319070475,875917.1375066986,12038.463469870176,14260.6903964599,0.0
612,0.0,3392320.1482744426,870491.1723903462,12025.59918329151,14167.492207764586,0.0
615,0.0,3363925.5026784088,865517.2358482687,12092.722497487523,14111.111171323322,0.0
618,0.0,3336394.030519218,860625.5012825623,12154.300624856249,14058.837334910202,0.0
621,0.0,3308087.446265379,855514.6388723017,12140.271260534351,13966.350859595996,0.0
624,0.0,3279704.862096769,850456.2612457732,12197.531107376317,13915.449300627748,0.0
627,0.0,3261998.4061730336,845310.5592747137,12228.228326902095,13860.270331679752,150.0
630,0.0,3262008.4050599225,840282.5226148893,12252.705095734455,13771.317634209032,150.0
633,0.0,3234463.626013163,835019.0446698719,12290.251172926688,13700.51174842607,108.09787098822176
636,0.0,3207117.0124953003,829885.3446229089,12279.009119629543,13642.876360787337,235.357497140036
639,0.0,3179891.145070363,824675.3581899406,12319.69229944025,13529.395480094256,150.0
642,0.0,3154044.357696748,819597.7443104954,12390.132228204318,13512.701521813295,150.0
