,Date,Consumption [MWh]
77,2022-03-19,21055516.32448518
78,2022-03-20,21084272.985401504
79,2022-03-21,21140898.243277844
80,2022-03-22,21217252.899051044
81,2022-03-23,21276116.282074764
82,2022-03-24,21336728.683937132
83,2022-03-25,21392042.126397043
84,2022-03-26,21421450.929058332
85,2022-03-27,21510945.836554483
86,2022-03-28,21587071.984814413
87,2022-03-29,21560273.097259898
88,2022-03-30,21535875.66336007
89,2022-03-31,21534295.394843526
90,2022-04-01,21543198.395729307
91,2022-04-02,21559784.665014632
92,2022-04-03,21596480.53329594
93,2022-04-04,21641455.600690532
94,2022-04-05,21685961.519916266
95,2022-04-06,21738736.46868916
96,2022-04-07,21774758.654501855
97,2022-04-08,21800440.99989388
98,2022-04-09,21813251.663891505
99,2022-04-10,21802490.504500605
100,2022-04-11,21825832.82393422
101,2022-04-12,21726619.621142652
102,2022-04-13,21688194.985233635
103,2022-04-14,21654199.38586999
104,2022-04-15,21625622.58266932
105,2022-04-16,21689510.20027447
106,2022-04-17,21788866.39244109
107,2022-04-18,21860590.613229617
108,2022-04-19,21915913.81495616
109,2022-04-20,21964044.730246726
110,2022-04-21,21974181.941329595
111,2022-04-22,22004527.457744822
112,2022-04-23,22066411.55359413
113,2022-04-24,22122801.06510176
114,2022-04-25,22176855.6500876
115,2022-04-26,22210528.431667637
116,2022-04-27,22259923.772782613
117,2022-04-28,22352455.51201321
118,2022-04-29,22432676.068270784
119,2022-04-30,22466577.97281335
120,2022-05-01,22529080.15554929
121,2022-05-02,22607759.3338213
122,2022-05-03,22659021.039431356
123,2022-05-04,22706784.853899643
124,2022-05-05,22736779.50562986
125,2022-05-06,22781672.01490403
126,2022-05-07,22838401.72330972
127,2022-05-08,22910553.710632015
128,2022-05-09,22966239.32404372
129,2022-05-10,23021441.42880414
130,2022-05-11,23074472.668227747
131,2022-05-12,23088553.03332904
132,2022-05-13,23085061.003608666
133,2022-05-14,23119314.358978376
134,2022-05-15,23133044.62137945
135,2022-05-16,23175155.827585112
136,2022-05-17,23241207.54058535
137,2022-05-18,23280861.55101881
138,2022-05-19,23269726.31571416
139,2022-05-20,23340095.87409583
140,2022-05-21,23414645.71029865
141,2022-05-22,23445991.097283397
142,2022-05-23,23512906.783797994
143,2022-05-24,23524072.322651286
144,2022-05-25,23549163.07478141
145,2022-05-26,23534375.5291882
146,2022-05-27,23561909.08730099
147,2022-05-28,23628303.63483892
148,2022-05-29,23729197.54160272
149,2022-05-30,23903737.48269657
150,2022-05-31,24050762.768761646
151,2022-06-01,24122581.446356036
152,2022-06-02,24199522.947639804
153,2022-06-03,24303624.63449319
154,2022-06-04,24431914.50250241
155,2022-06-05,24562010.362366296
156,2022-06-06,24711809.331652068
157,2022-06-07,24782034.171539366
158,2022-06-08,24869769.39240991
159,2022-06-09,24932858.42065642
160,2022-06-10,24937750.245728433
161,2022-06-11,24879845.322332047
162,2022-06-12,25010336.476455152
163,2022-06-13,25173947.29912788
164,2022-06-14,25306088.795060366
165,2022-06-15,25406084.32176619
166,2022-06-16,25530631.408447545
167,2022-06-17,25603610.999164417
168,2022-06-18,25619709.246503986
169,2022-06-19,25667019.62141276
170,2022-06-20,25718806.12938787
171,2022-06-21,25741492.262695745
172,2022-06-22,25678316.98363334
173,2022-06-23,25557061.055760972
174,2022-06-24,25597308.681646712
175,2022-06-25,25630353.704994813
176,2022-06-26,25666861.86125578
177,2022-06-27,25706486.124975633
178,2022-06-28,25646522.14285564
179,2022-06-29,25609600.25816515
180,2022-06-30,25621242.242656935
181,2022-07-01,25634106.86103855
182,2022-07-02,25678785.076746337
183,2022-07-03,25750284.45340995
184,2022-07-04,25822558.534140013
185,2022-07-05,25888070.058544036
186,2022-07-06,25936245.462023027
187,2022-07-07,25944169.31246393
188,2022-07-08,25920231.091623697
189,2022-07-09,25936742.24679378
190,2022-07-10,25988895.562520098
191,2022-07-11,26040940.119572338
192,2022-07-12,25987517.161356572
193,2022-07-13,25978033.58668112
194,2022-07-14,25964788.005215615
195,2022-07-15,25866816.456626315
196,2022-07-16,25895875.53757977
197,2022-07-17,25948948.80339482
198,2022-07-18,25999471.88198715
199,2022-07-19,25979324.828508437
200,2022-07-20,25905266.47249
201,2022-07-21,25903392.810525276
202,2022-07-22,25880119.392100226
203,2022-07-23,25907675.34084276
204,2022-07-24,25997122.155376323
205,2022-07-25,26082188.67108345
206,2022-07-26,26074399.457492102
207,2022-07-27,26087097.963191234
208,2022-07-28,26121783.070861265
209,2022-07-29,26123156.958730325
210,2022-07-30,26061118.385120016
211,2022-07-31,26037782.396021515
212,2022-08-01,26014504.054002486
213,2022-08-02,25945309.271004915
214,2022-08-03,25963259.727506887
215,2022-08-04,25992734.060859427
216,2022-08-05,25897624.702953964
217,2022-08-06,25892368.15093534
218,2022-08-07,25976625.67326084
219,2022-08-08,26017962.468471132
220,2022-08-09,25961885.63448808
221,2022-08-10,25956609.41740066
222,2022-08-11,25943011.652430337
223,2022-08-12,25921343.560098313
224,2022-08-13,25944882.061306182
225,2022-08-14,26005062.359182943
226,2022-08-15,26046911.9115373
227,2022-08-16,26055883.02213975
228,2022-08-17,25998005.852573693
229,2022-08-18,25921543.200111195
230,2022-08-19,25959605.336413737
231,2022-08-20,26020723.110029202
232,2022-08-21,26056327.933331117
233,2022-08-22,26087451.524130087
234,2022-08-23,26081295.91799002
235,2022-08-24,26128578.333918717
236,2022-08-25,26074491.74557204
237,2022-08-26,26043438.960743587
238,2022-08-27,26050021.805889495
239,2022-08-28,26033106.21264281
240,2022-08-29,26055207.434709188
241,2022-08-30,26025378.075062446
242,2022-08-31,25911918.892707933
243,2022-09-01,25755945.736576255
244,2022-09-02,25619524.875493847
245,2022-09-03,25582882.873675205
246,2022-09-04,25597709.77871311
247,2022-09-05,25614682.491511345
248,2022-09-06,25584293.51265644
249,2022-09-07,25426426.736420177
250,2022-09-08,25286864.76891661
251,2022-09-09,25126324.71560823
252,2022-09-10,25059500.027660858
253,2022-09-11,25118575.418296605
254,2022-09-12,25121423.043348268
255,2022-09-13,25088461.955554612
256,2022-09-14,25164271.704287365
257,2022-09-15,25308536.348794356
258,2022-09-16,25467814.672532175
259,2022-09-17,25606657.12125178
260,2022-09-18,25744604.70676625
261,2022-09-19,25824358.400809314
262,2022-09-20,25886417.079095025
263,2022-09-21,25954304.970270146
264,2022-09-22,25896069.84369919
265,2022-09-23,25899129.564284205
266,2022-09-24,25924378.105878416
267,2022-09-25,25927972.915623035
268,2022-09-26,25916169.33174325
269,2022-09-27,25901367.865274224
270,2022-09-28,25899159.80921863
271,2022-09-29,25923153.889404815
272,2022-09-30,25974980.899801787
273,2022-10-01,26025600.750461437
274,2022-10-02,26047544.41752058
275,2022-10-03,26040898.708630152
276,2022-10-04,25992171.129948173
277,2022-10-05,25981332.687716108
278,2022-10-06,25998471.659732357
279,2022-10-07,26003570.773972176
280,2022-10-08,25979919.147331286
281,2022-10-09,25991802.886148717
282,2022-10-10,25992703.229782864
283,2022-10-11,25926961.585974682
284,2022-10-12,25951734.414608065
285,2022-10-13,25941691.4551813
286,2022-10-14,25915532.3417726
287,2022-10-15,25933588.714159265
288,2022-10-16,25907952.234389693
289,2022-10-17,25886776.35491974
290,2022-10-18,25826151.43892268
291,2022-10-19,25815111.451715786
292,2022-10-20,25785297.917906824
293,2022-10-21,25780281.918622453
294,2022-10-22,25798070.863657735
295,2022-10-23,25817291.607405517
296,2022-10-24,25817420.236298136
297,2022-10-25,25774826.752339687
298,2022-10-26,25751161.146208756
299,2022-10-27,25736674.14499784
300,2022-10-28,25719773.967289433
301,2022-10-29,25745127.721397776
302,2022-10-30,25725254.747983716
303,2022-10-31,25747299.788325973
304,2022-11-01,25727810.532863867
305,2022-11-02,25755541.796720475
306,2022-11-03,25846704.83543996
307,2022-11-04,25827045.950442538
308,2022-11-05,25776014.569386397
309,2022-11-06,25779067.695872337
310,2022-11-07,25824368.863446515
311,2022-11-08,25853409.01200885
312,2022-11-09,25808544.34448633
313,2022-11-10,25717822.4070343
314,2022-11-11,25601453.11687601
315,2022-11-12,25511072.22622814
316,2022-11-13,25430618.67846992
317,2022-11-14,25368197.35404219
318,2022-11-15,25209870.045926526
319,2022-11-16,25068832.670735262
320,2022-11-17,24958117.19043098
321,2022-11-18,24832083.911046546
322,2022-11-19,24683069.75677912
323,2022-11-20,24601768.266494066
324,2022-11-21,24516665.08759608
325,2022-11-22,24409130.42484294
326,2022-11-23,24313645.173983097
327,2022-11-24,24203658.590737015
328,2022-11-25,24177260.448563617
329,2022-11-26,24169934.40449129
330,2022-11-27,24096007.080548257
331,2022-11-28,24036588.357154
332,2022-11-29,23914681.870120443
333,2022-11-30,23686017.24144082
334,2022-12-01,23386423.31794294
335,2022-12-02,23170519.794943005
336,2022-12-03,22932062.313687753
337,2022-12-04,22813315.543088295
338,2022-12-05,22696810.88340277
339,2022-12-06,22585677.630288202
340,2022-12-07,22409819.602057025
341,2022-12-08,22136496.276202876
342,2022-12-09,21764381.21306292
343,2022-12-10,21485835.94688351
344,2022-12-11,21289587.11796469
345,2022-12-12,21200651.56591274
346,2022-12-13,20829690.001197208
347,2022-12-14,20511937.511430554
348,2022-12-15,20152010.101807624
349,2022-12-16,19844924.959382363
350,2022-12-17,19633675.082595848
351,2022-12-18,19386687.26962743
352,2022-12-19,19187560.893100712
353,2022-12-20,18876991.57525976
354,2022-12-21,18579883.15819944
355,2022-12-22,18359285.51587131
356,2022-12-23,18081702.167557847
357,2022-12-24,17880163.61097528
358,2022-12-25,17819438.523286503
359,2022-12-26,17909238.54707363
360,2022-12-27,18007586.48683813
361,2022-12-28,18086593.84609433
362,2022-12-29,18172386.093692098
363,2022-12-30,18153136.80482211
364,2022-12-31,18088109.844125222
