1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
40,186,1649,603,177,1182,585,1869,3128,1242,342,3676,5267,1229,182,458,0,0,0,0,0,0
41,180,1627,606,176,1172,573,1871,3055,1220,344,3642,5252,1230,173,456,0,0,0,0,0,0
41,179,1645,608,172,1169,564,1883,3049,1242,346,3645,5251,1214,180,457,0,0,0,0,0,0
41,183,1653,619,174,1164,560,1884,3070,1248,350,3658,5266,1226,191,467,0,0,0,0,0,0
43,178,1646,623,177,1175,570,1886,3072,1243,349,3684,5261,1229,190,463,0,0,0,0,0,0
45,173,1641,607,179,1174,596,1887,3115,1247,343,3654,5242,1217,180,459,0,0,0,0,0,0
38,171,1609,592,171,1133,551,1833,3035,1180,337,3608,5220,1211,169,449,0,0,0,0,0,0
37,159,1536,556,161,1050,435,1687,2821,1083,321,3532,5195,1186,163,440,0,0,0,0,0,0
35,147,1498,535,156,1014,396,1664,2741,1038,310,3510,5174,1172,165,436,0,0,0,0,0,0
35,141,1443,511,156,951,334,1563,2620,957,295,3450,5150,1154,158,422,0,0,0,0,0,0
31,132,1409,482,146,876,272,1475,2498,860,278,3374,5123,1134,144,416,0,0,0,0,0,0
24,103,1297,434,130,735,103,1275,2188,680,254,3289,5076,1094,125,404,0,0,0,0,0,0
24,97,1261,417,127,684,56,1205,2104,614,245,3258,5054,1080,120,398,0,0,0,0,0,0
23,98,1260,416,127,677,55,1200,2097,611,245,3251,5052,1079,119,397,0,0,0,0,0,0
24,104,1276,429,128,698,68,1228,2131,648,252,3285,5071,1090,123,402,0,0,0,0,0,0
25,110,1294,440,131,719,85,1266,2174,691,259,3320,5089,1102,129,406,0,0,0,0,0,0
26,117,1316,450,134,735,95,1289,2201,716,265,3352,5103,1109,136,410,0,0,0,0,0,0
28,129,1355,463,138,765,125,1343,2258,764,272,3387,5125,1118,144,413,0,0,0,0,0,0
34,155,1519,543,156,964,348,1617,2656,1020,308,3535,5210,1173,163,436,0,0,0,0,0,0
43,198,1702,641,180,1213,603,1934,3130,1329,355,3748,5313,1242,187,472,0,0,0,0,0,0
50,222,1817,708,199,1331,720,2124,3396,1524,395,3933,5418,1286,210,491,0,0,0,0,0,0
48,229,1846,724,203,1346,705,2152,3401,1578,395,4014,5454,1292,224,496,0,0,0,0,0,0
47,224,1823,718,200,1313,678,2146,3366,1523,396,3997,5433,1304,220,501,0,0,0,0,0,0
46,218,1794,701,197,1267,644,2057,3292,1483,384,3929,5391,1295,216,490,0,0,0,0,0,0
46,206,1757,686,196,1272,661,2031,3286,1441,374,3857,5349,1277,204,482,0,0,0,0,0,0
45,191,1693,639,189,1221,613,1971,3197,1339,361,3752,5292,1256,193,467,0,0,0,0,0,0
41,180,1653,619,183,1198,584,1912,3106,1292,350,3680,5261,1231,192,458,0,0,0,0,0,0
43,181,1641,610,175,1173,575,1888,3070,1271,354,3681,5251,1232,195,466,0,0,0,0,0,0
43,177,1636,621,175,1170,582,1888,3059,1267,353,3685,5268,1238,193,472,0,0,0,0,0,0
41,173,1637,609,172,1180,605,1871,3081,1241,350,3656,5249,1216,181,458,0,0,0,0,0,0
39,169,1613,595,169,1145,548,1843,3019,1182,336,3636,5235,1215,176,448,0,0,0,0,0,0
36,156,1549,562,159,1038,427,1718,2848,1074,318,3563,5190,1194,169,444,0,0,0,0,0,0
37,151,1528,553,158,1002,383,1669,2781,1029,310,3533,5176,1185,170,438,0,0,0,0,0,0
35,138,1474,525,153,954,335,1572,2639,963,293,3467,5146,1171,152,430,0,0,0,0,0,0
30,127,1419,500,143,888,281,1476,2502,863,283,3394,5123,1136,142,418,0,0,0,0,0,0
26,107,1301,446,131,730,107,1266,2207,683,260,3288,5067,1095,126,406,0,0,0,0,0,0
24,100,1265,423,127,683,55,1203,2102,617,249,3249,5053,1080,122,397,0,0,0,0,0,0
23,98,1261,417,127,677,52,1202,2095,614,245,3247,5053,1080,119,397,0,0,0,0,0,0
