1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
69,331,1738,1592,179,1482,1021,2341,3105,2173,540,2805,2401,746,280,401,0,0,0,0,0,0
68,332,1738,1594,180,1487,1024,2349,3123,2181,540,2803,2399,749,280,401,0,0,0,0,0,0
68,331,1735,1594,181,1490,1021,2357,3145,2179,538,2796,2394,750,280,401,0,0,0,0,0,0
68,328,1719,1584,178,1476,1010,2334,3128,2153,535,2773,2381,744,276,398,0,0,0,0,0,0
68,324,1702,1572,175,1441,989,2271,3018,2102,531,2746,2367,728,271,393,0,0,0,0,0,0
68,326,1712,1573,175,1436,985,2262,2995,2077,534,2758,2374,722,268,392,0,0,0,0,0,0
68,323,1705,1568,174,1422,976,2239,2958,2053,532,2749,2369,715,265,390,0,0,0,0,0,0
67,321,1699,1564,173,1412,969,2223,2933,2036,531,2740,2365,712,263,389,0,0,0,0,0,0
67,319,1693,1560,172,1404,962,2210,2913,2019,529,2733,2361,708,261,388,0,0,0,0,0,0
67,318,1686,1556,171,1394,954,2196,2892,2004,528,2724,2357,704,259,387,0,0,0,0,0,0
67,316,1679,1552,170,1385,945,2185,2876,1991,526,2715,2352,701,258,386,0,0,0,0,0,0
66,315,1672,1549,170,1375,934,2171,2854,1977,525,2707,2348,698,257,384,0,0,0,0,0,0
66,314,1669,1547,169,1369,929,2166,2846,1972,523,2702,2346,697,256,384,0,0,0,0,0,0
66,314,1669,1547,169,1368,928,2164,2843,1970,524,2703,2346,697,256,384,0,0,0,0,0,0
66,314,1668,1547,169,1368,928,2163,2841,1970,524,2703,2345,697,256,384,0,0,0,0,0,0
66,314,1669,1548,169,1370,932,2165,2845,1973,524,2704,2346,697,256,384,0,0,0,0,0,0
66,316,1673,1549,169,1375,938,2171,2855,1979,525,2709,2349,699,257,384,0,0,0,0,0,0
66,318,1680,1553,170,1382,946,2181,2867,1988,526,2716,2353,701,258,385,0,0,0,0,0,0
67,321,1689,1558,171,1387,954,2190,2878,1998,528,2726,2358,703,259,386,0,0,0,0,0,0
