,Node_ELEC,Node_GAS,Gen_ID,Prime Mover,Fuel,Existing Units [no.],Unit Size [MW],Max New Units Annual [units/year],Max New Units Total [no.],Pmin [p.u.],Pmax [p.u.],Ramp Down Rate [p.u.],Ramp Up Rate [p.u.],Min Up Time [hours],Min Down Time [hours],is_Renewable [bin.],Heat Rate [MMBTU/MWh],is_NGFueled [bin.],Emissions Factor [kgCO2/MMBTU],Startup Cost [$/start],Econmic Lifetime [years],Lifetime [years],Startup Fuel [MMBtu/start],Install Year,Forced Retirement
48,4,4,GEN49,Solar PV,UtilityPV,13.349,100,5,386,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
49,4,4,GEN50,Comm Solar PV,UtilityPV,0.0,100,1,50,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
50,4,4,GEN51,Res Solar PV,UtilityPV,0.0,100,1,5,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
51,4,4,GEN52,Wind,LandbasedWind,0.019,100,5,36,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
52,4,4,GEN53,Geothermal,Geothermal,0.0,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,100,30,30,0,2060,2060
53,4,4,GEN54,Geothermal EGS,Geothermal,0.0,100,10,100,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,100,30,30,0,2060,2060
54,4,4,GEN55,Nuclear,Nuclear,0.0,100,0,100,1.0,1,0.1,0.1,36,36,1,11.4,0,0.0,1130,30,60,0,2060,2030
55,4,4,GEN56,Hydropower,Hydro,0.044,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,100,0,2060,2060
56,5,5,GEN57,Coal,Coal,0.0,100,100,100,0.4,1,0.5,0.5,24,24,0,9.16,0,92.0,12500,30,30,1000,2060,2060
57,5,5,GEN58,Natural Gas CC,Natural Gas,0.0,100,100,100,0.5,1,0.5,0.5,4,3,0,6.36,1,53.5,6200,30,30,580,2060,2060
58,5,5,GEN59,Natural Gas CT,Natural Gas,0.014,100,100,100,0.4,1,0.4,0.4,22,10,0,9.72,1,53.5,10000,30,30,1100,2060,2060
59,5,5,GEN60,Natural Gas CC-CCS,Natural Gas,0.0,100,100,100,0.5,1,0.6,0.6,4,3,0,7.17,1,5.35,6200,30,30,580,2060,2060
60,5,5,GEN61,Biopower,Biomass,0.04,100,1,5,0.4,1,1.0,1.0,1,1,1,13.5,0,0.0,0,30,45,0,2060,2060
61,5,5,GEN62,Solar Thermal,UtilityPV,0.0,100,1,1,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
62,5,5,GEN63,Solar PV,UtilityPV,0.298,100,5,130,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
63,5,5,GEN64,Comm Solar PV,UtilityPV,0.0,100,1,50,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
64,5,5,GEN65,Res Solar PV,UtilityPV,0.0,100,1,5,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
65,5,5,GEN66,Wind,LandbasedWind,0.0,100,5,5,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
66,5,5,GEN67,Geothermal,Geothermal,0.0,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,100,30,30,0,2060,2060
67,5,5,GEN68,Geothermal EGS,Geothermal,0.0,100,10,100,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,100,30,30,0,2060,2060
68,5,5,GEN69,Nuclear,Nuclear,1.1,1000,0,100,1.0,1,0.1,0.1,36,36,1,11.4,0,0.0,11300,30,60,0,2060,2030
69,5,5,GEN70,Hydropower,Hydro,0.0,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,100,0,2060,2060
70,6,6,GEN71,Coal,Coal,0.0,100,100,100,0.4,1,0.5,0.5,24,24,0,9.16,0,92.0,12500,30,30,1000,2060,2060
71,6,6,GEN72,Natural Gas CC,Natural Gas,39.488,100,100,100,0.5,1,0.5,0.5,4,3,0,6.36,1,53.5,6200,30,30,580,2060,2060
72,6,6,GEN73,Natural Gas CT,Natural Gas,66.389,100,100,100,0.4,1,0.4,0.4,22,10,0,9.72,1,53.5,10000,30,30,1100,2060,2060
73,6,6,GEN74,Natural Gas CC-CCS,Natural Gas,0.0,100,100,100,0.5,1,0.6,0.6,4,3,0,7.17,1,5.35,6200,30,30,580,2060,2060
74,6,6,GEN75,Biopower,Biomass,1.31,100,1,5,0.4,1,1.0,1.0,1,1,1,13.5,0,0.0,0,30,45,0,2060,2060
75,6,6,GEN76,Solar Thermal,UtilityPV,0.0,100,1,1,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
76,6,6,GEN77,Solar PV,UtilityPV,0.389,100,0,30,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
77,6,6,GEN78,Comm Solar PV,UtilityPV,0.0,100,3,50,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
78,6,6,GEN79,Res Solar PV,UtilityPV,0.0,100,2,30,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
79,6,6,GEN80,Wind,LandbasedWind,0.0,100,5,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
80,6,6,GEN81,Geothermal,Geothermal,0.0,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,100,30,30,0,2060,2060
81,6,6,GEN82,Geothermal EGS,Geothermal,0.0,100,10,100,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,100,30,30,0,2060,2060
82,6,6,GEN83,Nuclear,Nuclear,0.0,100,0,100,1.0,1,0.1,0.1,36,36,1,11.4,0,0.0,1130,30,60,0,2060,2030
83,6,6,GEN84,Hydropower,Hydro,0.196,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,100,0,2060,2060
84,7,7,GEN85,Coal,Coal,0.0,100,100,100,0.4,1,0.5,0.5,24,24,0,9.16,0,92.0,12500,30,30,1000,2060,2060
85,7,7,GEN86,Natural Gas CC,Natural Gas,0.473,100,100,100,0.5,1,0.5,0.5,4,3,0,6.36,1,53.5,6200,30,30,580,2060,2060
86,7,7,GEN87,Natural Gas CT,Natural Gas,10.62,100,100,100,0.4,1,0.4,0.4,22,10,0,9.72,1,53.5,10000,30,30,1100,2060,2060
87,7,7,GEN88,Natural Gas CC-CCS,Natural Gas,0.0,100,100,100,0.5,1,0.6,0.6,4,3,0,7.17,1,5.35,6200,30,30,580,2060,2060
88,7,7,GEN89,Biopower,Biomass,0.116,100,1,5,0.4,1,1.0,1.0,1,1,1,13.5,0,0.0,0,30,45,0,2060,2060
89,7,7,GEN90,Solar Thermal,UtilityPV,0.0,100,1,1,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
90,7,7,GEN91,Solar PV,UtilityPV,0.231,100,0,7,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
91,7,7,GEN92,Comm Solar PV,UtilityPV,0.0,100,3,50,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
92,7,7,GEN93,Res Solar PV,UtilityPV,0.0,100,2,7,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
93,7,7,GEN94,Wind,LandbasedWind,0.0,100,5,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
