,Node_ELEC,Node_GAS,Gen_ID,Prime Mover,Fuel,Existing Units [no.],Unit Size [MW],Max New Units Annual [units/year],Max New Units Total [no.],Pmin [p.u.],Pmax [p.u.],Ramp Down Rate [p.u.],Ramp Up Rate [p.u.],Min Up Time [hours],Min Down Time [hours],is_Renewable [bin.],Heat Rate [MMBTU/MWh],is_NGFueled [bin.],Emissions Factor [kgCO2/MMBTU],Startup Cost [$/start],Econmic Lifetime [years],Lifetime [years],Startup Fuel [MMBtu/start],Install Year,Forced Retirement
159,12,12,GEN160,Solar Thermal,UtilityPV,2.007,100,1,1,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
160,12,12,GEN161,Solar PV,UtilityPV,8.581,100,5,2652,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
161,12,12,GEN162,Comm Solar PV,UtilityPV,0.0,100,1,50,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
162,12,12,GEN163,Res Solar PV,UtilityPV,0.0,100,1,5,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
163,12,12,GEN164,Wind,LandbasedWind,13.748,100,5,66,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
164,12,12,GEN165,Geothermal,Geothermal,0.0,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,100,30,30,0,2060,2060
165,12,12,GEN166,Geothermal EGS,Geothermal,0.0,100,10,100,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,100,30,30,0,2060,2060
166,12,12,GEN167,Nuclear,Nuclear,0.0,100,0,100,1.0,1,0.1,0.1,36,36,1,11.4,0,0.0,1130,30,60,0,2060,2030
167,12,12,GEN168,Hydropower,Hydro,17.085,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,100,0,2060,2060
168,13,13,GEN169,Coal,Coal,0.0,100,100,100,0.4,1,0.5,0.5,24,24,0,9.16,0,92.0,12500,30,30,1000,2060,2060
169,13,13,GEN170,Natural Gas CC,Natural Gas,34.031,100,100,100,0.5,1,0.5,0.5,4,3,0,6.36,1,53.5,6200,30,30,580,2060,2060
170,13,13,GEN171,Natural Gas CT,Natural Gas,28.73,100,100,100,0.4,1,0.4,0.4,22,10,0,9.72,1,53.5,10000,30,30,1100,2060,2060
171,13,13,GEN172,Natural Gas CC-CCS,Natural Gas,0.0,100,100,100,0.5,1,0.6,0.6,4,3,0,7.17,1,5.35,6200,30,30,580,2060,2060
172,13,13,GEN173,Biopower,Biomass,2.176,100,1,5,0.4,1,1.0,1.0,1,1,1,13.5,0,0.0,0,30,45,0,2060,2060
173,13,13,GEN174,Solar Thermal,UtilityPV,0.0,100,1,1,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
174,13,13,GEN175,Solar PV,UtilityPV,30.147,100,5,3516,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
175,13,13,GEN176,Comm Solar PV,UtilityPV,0.0,100,1,50,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
176,13,13,GEN177,Res Solar PV,UtilityPV,0.0,100,1,5,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
177,13,13,GEN178,Wind,LandbasedWind,0.0,100,5,48,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
178,13,13,GEN179,Geothermal,Geothermal,0.0,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,100,30,30,0,2060,2060
179,13,13,GEN180,Geothermal EGS,Geothermal,0.0,100,10,100,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,100,30,30,0,2060,2060
180,13,13,GEN181,Nuclear,Nuclear,0.0,100,0,100,1.0,1,0.1,0.1,36,36,1,11.4,0,0.0,1130,30,60,0,2060,2030
181,13,13,GEN182,Hydropower,Hydro,4.15,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,100,0,2060,2060
182,14,14,GEN183,Coal,Coal,0.0,100,100,100,0.4,1,0.5,0.5,24,24,0,9.16,0,92.0,12500,30,30,1000,2060,2060
183,14,14,GEN184,Natural Gas CC,Natural Gas,8.52,100,100,100,0.5,1,0.5,0.5,4,3,0,6.36,1,53.5,6200,30,30,580,2060,2060
184,14,14,GEN185,Natural Gas CT,Natural Gas,0.861,100,100,100,0.4,1,0.4,0.4,22,10,0,9.72,1,53.5,10000,30,30,1100,2060,2060
185,14,14,GEN186,Natural Gas CC-CCS,Natural Gas,0.0,100,100,100,0.5,1,0.6,0.6,4,3,0,7.17,1,5.35,6200,30,30,580,2060,2060
186,14,14,GEN187,Biopower,Biomass,0.0,100,1,5,0.4,1,1.0,1.0,1,1,1,13.5,0,0.0,0,30,45,0,2060,2060
187,14,14,GEN188,Solar Thermal,UtilityPV,0.0,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
188,14,14,GEN189,Solar PV,UtilityPV,45.16,100,5,161,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
189,14,14,GEN190,Comm Solar PV,UtilityPV,0.0,100,1,50,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
190,14,14,GEN191,Res Solar PV,UtilityPV,0.0,100,1,5,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
191,14,14,GEN192,Wind,LandbasedWind,13.409,100,5,5,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
192,14,14,GEN193,Geothermal,Geothermal,0.0,100,1,1,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,100,30,30,0,2060,2060
193,14,14,GEN194,Geothermal EGS,Geothermal,0.0,100,10,100,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,100,30,30,0,2060,2060
194,14,14,GEN195,Nuclear,Nuclear,0.0,100,0,100,1.0,1,0.1,0.1,36,36,1,11.4,0,0.0,1130,30,60,0,2060,2030
195,14,14,GEN196,Hydropower,Hydro,0.523,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,100,0,2060,2060
196,15,15,GEN197,Coal,Coal,0.0,100,100,100,0.4,1,0.5,0.5,24,24,0,9.16,0,92.0,12500,30,30,1000,2060,2060
197,15,15,GEN198,Natural Gas CC,Natural Gas,8.677,100,100,100,0.5,1,0.5,0.5,4,3,0,6.36,1,53.5,6200,30,30,580,2060,2060
198,15,15,GEN199,Natural Gas CT,Natural Gas,13.046,100,100,100,0.4,1,0.4,0.4,22,10,0,9.72,1,53.5,10000,30,30,1100,2060,2060
199,15,15,GEN200,Natural Gas CC-CCS,Natural Gas,0.0,100,100,100,0.5,1,0.6,0.6,4,3,0,7.17,1,5.35,6200,30,30,580,2060,2060
200,15,15,GEN201,Biopower,Biomass,0.946,100,1,5,0.4,1,1.0,1.0,1,1,1,13.5,0,0.0,0,30,45,0,2060,2060
201,15,15,GEN202,Solar Thermal,UtilityPV,0.0,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
202,15,15,GEN203,Solar PV,UtilityPV,41.893,100,5,222,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
203,15,15,GEN204,Comm Solar PV,UtilityPV,0.0,100,1,50,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
204,15,15,GEN205,Res Solar PV,UtilityPV,0.0,100,1,5,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
205,15,15,GEN206,Wind,LandbasedWind,8.617,100,5,7,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
206,15,15,GEN207,Geothermal,Geothermal,7.914,100,5,23,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,100,30,30,0,2060,2060
207,15,15,GEN208,Geothermal EGS,Geothermal,0.0,100,10,100,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,100,30,30,0,2060,2060
208,15,15,GEN209,Nuclear,Nuclear,0.0,100,0,100,1.0,1,0.1,0.1,36,36,1,11.4,0,0.0,1130,30,60,0,2060,2030
209,15,15,GEN210,Hydropower,Hydro,2.096,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,100,0,2060,2060
210,16,16,GEN211,Coal,Coal,0.0,100,100,100,0.4,1,0.5,0.5,24,24,0,9.16,0,92.0,12500,30,30,1000,2060,2060
211,16,16,GEN212,Natural Gas CC,Natural Gas,0.0,100,100,100,0.5,1,0.5,0.5,4,3,0,6.36,1,53.5,6200,30,30,580,2060,2060
212,16,16,GEN213,Natural Gas CT,Natural Gas,0.36,100,100,100,0.4,1,0.4,0.4,22,10,0,9.72,1,53.5,10000,30,30,1100,2060,2060
213,16,16,GEN214,Natural Gas CC-CCS,Natural Gas,0.0,100,100,100,0.5,1,0.6,0.6,4,3,0,7.17,1,5.35,6200,30,30,580,2060,2060
214,16,16,GEN215,Biopower,Biomass,1.531,100,1,5,0.4,1,1.0,1.0,1,1,1,13.5,0,0.0,0,30,45,0,2060,2060
215,16,16,GEN216,Solar Thermal,UtilityPV,0.0,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
216,16,16,GEN217,Solar PV,UtilityPV,1.822,100,5,1332,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
217,16,16,GEN218,Comm Solar PV,UtilityPV,0.0,100,1,50,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
218,16,16,GEN219,Res Solar PV,UtilityPV,0.0,100,1,5,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
219,16,16,GEN220,Wind,LandbasedWind,26.102,100,5,67,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
220,16,16,GEN221,Geothermal,Geothermal,3.152,100,5,8,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,100,30,30,0,2060,2060
221,16,16,GEN222,Geothermal EGS,Geothermal,0.0,100,10,100,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,100,30,30,0,2060,2060
222,16,16,GEN223,Nuclear,Nuclear,0.0,100,0,100,1.0,1,0.1,0.1,36,36,1,11.4,0,0.0,1130,30,60,0,2060,2030
223,16,16,GEN224,Hydropower,Hydro,48.381,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,100,0,2060,2060
224,21,21,GEN225,OffshoreWind,OffshoreWind,0.0,1000,5,20,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
225,22,22,GEN226,OffshoreWind,OffshoreWind,0.0,1000,5,20,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
226,18,18,GEN227,Coal,Coal,10.0,100,0,0,0.4,1,0.5,0.5,24,24,0,9.16,0,92.0,12500,30,30,1000,2060,2060
227,18,18,GEN228,Natural Gas CC,Natural Gas,9.0,100,0,0,0.5,1,0.6,0.6,4,3,0,7.17,1,5.35,6200,30,30,580,2060,2060
228,18,18,GEN230,Solar PV,UtilityPV,4.0,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
229,18,18,GEN231,Hydropower,Hydro,1.0,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,100,0,2060,2060
230,18,18,GEN232,Wind,LandbasedWind,5.0,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
231,19,19,GEN234,Coal,Coal,10.0,100,0,0,0.4,1,0.5,0.5,24,24,0,9.16,0,92.0,12500,30,30,1000,2060,2060
232,19,19,GEN235,Natural Gas CC,Natural Gas,57.0,100,0,0,0.5,1,0.6,0.6,4,3,0,7.17,1,5.35,6200,30,30,580,2060,2060
233,19,19,GEN237,Solar PV,UtilityPV,27.0,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
234,19,19,GEN238,Hydropower,Hydro,31.0,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,100,0,2060,2060
235,19,19,GEN239,Wind,LandbasedWind,26.0,100,0,0,0.0,1,1.0,1.0,1,1,1,0.0,0,0.0,0,30,30,0,2060,2060
236,19,19,GEN241,Nuclear,Nuclear,22.0,100,0,0,1.0,1,0.1,0.1,36,36,1,11.4,0,0.0,1130,30,60,0,2060,2030
