Time (seconds),Speed (mph),Grade (rise/run),Key On/Off (1/0),Engine Speed (rpm),Engine Torque (Nm),Engine Power (kW),Speed (m/s),Acceleration (m/s2),P_W (kW),eta_RB,P_T (kW),EC_cum (kWh),ER_cum (kWh),SOC,break_length,charging_break (bool),SOC_wBreakCharging,charging_power_existing_breaks (kW),charging_power_depletion_breaks (kW),charging_power_after_cycle (kW),charging_power_total (kW)
9112,52.15,-0.0063,1.0,1170.5,614.0,75.26,23.4675,0.0,20.44578867407095,0.0,24.10065264816521,40.1998526985593,-2.4686938822491826,0.4839366919940113,0.0,0.0,0.48661158911335217,0.0,0.0,0.0,0.0
9113,52.26,-0.0062,1.0,1151.0,-147.36,0.0,23.517,0.04949999999999832,24.962498482022017,0.0,29.424763932365206,40.20802624409606,-2.4686938822491826,0.48387614721225747,0.0,0.0,0.48655104433159835,0.0,0.0,0.0,0.0
9114,51.55,-0.0064,1.0,1156.38,-147.36,0.0,23.197499999999998,-0.31950000000000145,-7.732992716401107,0.5022908724795291,-3.2951709604027535,40.20802624409606,-2.469609207515961,0.4838693670250962,0.0,0.0,0.4865442641444371,0.0,0.0,0.0,0.0
9115,51.43,-0.0066,1.0,1154.12,1301.68,157.32,23.1435,-0.053999999999998494,14.785787503006373,0.01700795549536676,17.428876646438823,40.212867598720074,-2.469609207515961,0.4838335051389924,0.0,0.0,0.4865084022583333,0.0,0.0,0.0,0.0
9116,51.89,-0.0065,1.0,1170.38,1694.64,207.7,23.3505,0.20700000000000074,37.88903264727917,0.0,44.66202940682405,40.22527371799974,-2.469609207515961,0.483741607959143,0.0,0.0,0.4864165050784839,0.0,0.0,0.0,0.0
9117,52.38,-0.0063,1.0,1176.38,957.84,118.0,23.571,0.22050000000000125,39.943764718003436,0.0,47.084062849064,40.2383526243467,-2.469609207515961,0.48364472717138773,0.0,0.0,0.4863196242907286,0.0,0.0,0.0,0.0
9118,51.99,-0.0062,1.0,1170.62,-73.68,0.0,23.395500000000002,-0.17549999999999955,5.152680901763288,0.2854862952796759,6.07376778660139,40.2400397820652,-2.469609207515961,0.48363222970680625,0.0,0.0,0.48630712682614713,0.0,0.0,0.0,0.0
9119,51.5,-0.006,1.0,1161.75,24.56,2.99,23.175,-0.22050000000000125,1.0717761251919378,0.3687145814287875,1.2633655038509317,40.24039071692739,-2.469609207515961,0.4836296301893086,0.0,0.0,0.4863045273086495,0.0,0.0,0.0,0.0
9120,51.05,-0.0054,1.0,1144.25,-147.36,0.0,22.9725,-0.20250000000000057,2.7878947352387504,0.3374223891842895,3.2862553606869227,40.24130356563869,-2.469609207515961,0.4836228683470027,0.0,0.0,0.48629776546634357,0.0,0.0,0.0,0.0
9121,50.95,-0.0046,1.0,1122.25,-147.36,0.0,22.927500000000002,-0.04499999999999815,16.75157241683515,0.007529784255648511,19.746062847686865,40.24678858309638,-2.469609207515961,0.48358223858805677,0.0,0.0,0.48625713570739765,0.0,0.0,0.0,0.0
9122,49.92,-0.0046,1.0,1122.0,-147.36,0.0,22.464000000000002,-0.4634999999999998,-19.07079790521957,0.6221031234306752,-10.064826896823227,40.24678858309638,-2.4724049927650786,0.48356152906769295,0.0,0.0,0.48623642618703383,0.0,0.0,0.0,0.0
9123,49.7,-0.0046,1.0,1117.38,-147.36,0.0,22.365000000000002,-0.0990000000000002,11.055913043958684,0.10836802322189634,13.032254427958609,40.25040865377082,-2.4724049927650786,0.4835347137293638,0.0,0.0,0.4862096108487047,0.0,0.0,0.0,0.0
9124,49.45,-0.0046,1.0,1113.0,-24.56,0.0,22.2525,-0.11250000000000071,9.728550829627181,0.14148585160496382,11.467614580806487,40.25359410226549,-2.4724049927650786,0.48351111781458844,0.0,0.0,0.4861860149339293,0.0,0.0,0.0,0.0
9125,49.5,-0.0045,1.0,1122.0,1203.44,141.4,22.275000000000002,0.022500000000000853,20.985520421463296,0.0,24.736866177242057,40.26046545398139,-2.4724049927650786,0.4834602189129892,0.0,0.0,0.48613511603233006,0.0,0.0,0.0,0.0
9126,49.16,-0.0041,1.0,1125.25,-147.36,0.0,22.122,-0.15300000000000225,6.572876940561643,0.23742381243187596,7.747836318219655,40.26261763073644,-2.4724049927650786,0.4834442768629517,0.0,0.0,0.4861191739822926,0.0,0.0,0.0,0.0
9127,49.07,-0.004,1.0,1108.0,73.68,8.55,22.081500000000002,-0.04049999999999798,15.782638146433076,0.0043739063593275325,18.60392308178591,40.26778538714806,-2.4724049927650786,0.48340599718582866,0.0,0.0,0.48608089430516954,0.0,0.0,0.0,0.0
9128,49.1,-0.0042,1.0,1108.5,785.92,91.23,22.095000000000002,0.013500000000000512,20.068407657194893,0.0,23.655811466016264,40.274356445888614,-2.4724049927650786,0.48335732267663933,0.0,0.0,0.4860322197959802,0.0,0.0,0.0,0.0
9129,49.75,-0.0045,1.0,1090.5,270.16,30.85,22.3875,0.2924999999999969,43.63331778207452,0.0,51.43315586971713,40.288643433630206,-2.4724049927650786,0.48325149313781274,0.0,0.0,0.4859263902571536,0.0,0.0,0.0,0.0
9130,48.89,-0.0044,1.0,1382.0,245.6,35.54,22.000500000000002,-0.3869999999999969,-12.933076582513618,0.5663882668092248,-6.214284919899097,40.288643433630206,-2.474131183020606,0.4832387065433274,0.0,0.0,0.4859136036626683,0.0,0.0,0.0,0.0
